stu_id,exer_id,cpt_seq,label
0,5,"1,24,44",0.0
0,6,"1,24,31,48",0.0
0,10,"1,24,31",1.0
0,1,"1,24,44",1.0
0,0,"1,24,44",0.0
0,8,"1,24,31",1.0
0,18,11,1.0
0,3,"1,24,44",0.0
0,4,"1,24,44",0.0
0,2,"1,24,44",0.0
0,17,11,1.0
0,11,"1,24,31,48",0.0
0,16,11,1.0
1,33,81,1.0
1,35,81,1.0
1,29,81,1.0
1,26,81,1.0
1,31,81,1.0
1,34,81,1.0
1,30,81,1.0
1,28,81,1.0
1,32,81,1.0
1,27,81,1.0
1,19,"6,8",0.0
2,97,30,1.0
2,165,44,1.0
2,271,97,1.0
2,209,63,1.0
2,214,78,1.0
2,94,29,1.0
2,74,"22,43",1.0
2,255,92,1.0
2,200,53,1.0
2,90,29,0.0
2,82,26,1.0
2,203,53,1.0
2,155,41,0.0
2,256,92,1.0
2,182,49,1.0
2,275,97,0.0
2,183,49,1.0
2,142,37,1.0
2,112,32,1.0
2,162,44,1.0
2,269,97,0.0
2,262,96,0.0
2,78,25,0.0
2,86,26,0.0
2,251,82,1.0
2,156,41,1.0
2,62,18,0.0
2,248,82,1.0
2,141,37,1.0
2,274,97,1.0
2,267,97,0.0
2,270,97,1.0
2,175,47,0.0
2,177,47,0.0
2,217,79,1.0
2,120,34,1.0
2,135,37,1.0
2,64,18,1.0
2,228,80,1.0
2,191,52,1.0
2,113,33,1.0
2,244,82,1.0
2,164,44,1.0
2,80,25,0.0
2,103,30,1.0
2,56,8,0.0
2,36,4,1.0
2,68,21,1.0
2,140,37,1.0
2,163,44,1.0
2,158,41,1.0
2,247,82,1.0
2,254,92,1.0
2,207,58,0.0
2,101,30,0.0
2,208,63,1.0
2,308,119,1.0
2,253,92,0.0
2,119,33,1.0
2,137,"37,55",1.0
2,73,"22,43",1.0
2,37,4,0.0
2,118,33,1.0
2,261,96,0.0
2,210,67,1.0
2,201,53,1.0
2,250,82,1.0
2,106,30,1.0
2,105,30,1.0
2,69,21,1.0
2,219,79,1.0
2,107,32,1.0
2,268,97,0.0
2,223,79,1.0
2,266,97,1.0
2,70,"22,51",0.0
2,92,29,1.0
2,188,52,1.0
2,179,48,0.0
2,121,34,1.0
2,195,53,1.0
2,186,49,0.0
2,249,82,1.0
2,252,82,1.0
2,77,25,0.0
2,197,53,0.0
2,224,80,0.0
2,260,96,0.0
2,139,37,1.0
2,190,52,0.0
2,199,53,1.0
2,193,53,0.0
2,96,30,1.0
2,245,82,0.0
2,136,"37,55",1.0
2,76,25,0.0
2,154,41,1.0
2,215,79,1.0
2,258,96,0.0
2,88,29,1.0
2,143,37,1.0
2,226,80,1.0
2,263,96,1.0
2,159,42,1.0
2,160,44,0.0
2,132,36,1.0
2,218,79,0.0
2,166,"45,55",0.0
2,216,79,1.0
2,221,79,1.0
2,205,56,1.0
2,307,111,0.0
2,40,4,0.0
2,152,41,1.0
2,189,52,1.0
2,196,53,1.0
2,181,49,0.0
2,243,82,0.0
2,93,29,1.0
2,265,96,1.0
2,98,30,1.0
2,176,47,1.0
2,60,17,1.0
2,115,33,1.0
2,222,79,1.0
