stu_id,exer_id,cpt_seq,label
1615,12977,83,1.0
1615,5433,31,0.0
1615,7471,39,1.0
1615,2959,15,1.0
1615,14849,99,1.0
1615,6029,"33,34",1.0
1615,5737,31,1.0
1615,12931,83,1.0
1615,13116,83,1.0
1615,2993,15,1.0
1615,7773,42,1.0
1615,12157,"80,80",1.0
1615,6024,"33,34",1.0
1615,13107,83,1.0
1615,11989,"80,80,80",1.0
1615,2966,15,1.0
1615,11965,"80,80",0.0
1615,6380,"33,34",1.0
1615,2988,15,1.0
1615,3006,15,1.0
1615,12930,83,1.0
1615,2976,15,1.0
1615,7729,42,1.0
1615,5921,"33,34",0.0
1615,5590,"31,31",1.0
1615,5808,31,1.0
1615,2969,"15,15",1.0
1615,6668,34,1.0
1615,13111,83,1.0
1615,7735,42,1.0
1615,2952,15,0.0
1615,13061,83,0.0
1615,2962,15,1.0
1615,13018,83,1.0
1615,7457,39,1.0
1615,6739,34,1.0
1615,7777,42,0.0
1615,6014,"33,34",0.0
1615,6125,33,1.0
1615,12160,"80,80",1.0
1615,2965,15,0.0
1615,6316,"33,34",1.0
1615,5534,"31,31",1.0
1615,3008,15,1.0
1615,2970,15,1.0
1615,5557,31,0.0
1615,13150,83,1.0
1615,13048,83,0.0
1615,8277,"46,56",1.0
1615,8328,"46,56",1.0
1615,6140,"33,34",1.0
1615,3004,15,0.0
1615,5678,31,0.0
1615,2955,15,1.0
1615,6064,"33,34",0.0
1615,6010,"33,34",1.0
1615,6315,"33,34",1.0
1615,5528,"31,31",1.0
1615,2979,15,1.0
1615,12003,80,1.0
1615,6755,34,0.0
1615,2953,15,1.0
1615,2978,15,1.0
1615,13058,83,1.0
1615,2986,15,1.0
1615,13088,83,1.0
1615,5514,"31,31,31",0.0
1615,12000,"80,80",1.0
1615,15071,99,1.0
1615,6310,"33,34",1.0
1615,6198,"33,34",0.0
1615,14573,98,1.0
1615,14996,99,1.0
1615,2967,"15,15",1.0
1615,7404,"38,56",1.0
1615,2982,15,1.0
1615,6684,34,1.0
1615,5680,31,1.0
1615,6178,"33,34",1.0
1615,6318,"33,34",1.0
1615,14745,99,1.0
1615,2968,15,1.0
1615,7772,42,0.0
1615,5948,"33,34",1.0
1615,7599,39,1.0
1615,12050,80,1.0
1615,7754,42,1.0
1615,8338,"46,56",1.0
782,13124,"83,83",0.0
782,8818,"49,49",0.0
782,6088,33,1.0
782,13064,83,1.0
782,13132,83,0.0
782,10062,54,1.0
782,6479,"34,34",1.0
782,11924,"80,80",0.0
782,7830,43,0.0
782,6969,35,1.0
782,11941,"80,80",1.0
782,12042,80,0.0
782,7501,39,0.0
782,9999,54,0.0
782,7930,43,0.0
782,5945,33,1.0
782,7905,43,0.0
782,12135,"80,80",0.0
782,6511,34,1.0
782,12030,"80,80,80",1.0
782,12338,"81,81,81",1.0
782,12494,82,1.0
782,7804,43,0.0
782,8110,45,0.0
782,12320,"81,81",1.0
782,12210,"80,80,80",0.0
782,7703,42,0.0
782,13130,83,0.0
782,12071,"80,80,80",0.0
782,10058,"54,54",0.0
782,12331,"81,81",0.0
782,7731,"42,42",1.0
782,7516,39,0.0
782,13090,83,1.0
782,13110,83,0.0
782,6143,33,0.0
782,12639,82,0.0
782,7144,35,1.0
782,7780,42,0.0
782,11721,79,1.0
782,12187,80,1.0
782,12317,"81,81",1.0
782,6533,34,0.0
782,12114,80,0.0
782,11779,79,1.0
782,11731,79,1.0
782,7901,43,1.0
782,6189,33,1.0
782,7853,43,0.0
782,7892,43,0.0
782,6350,33,1.0
782,12128,"80,80",1.0
782,6520,"34,34",0.0
782,12493,82,1.0
782,7852,"43,43",0.0
782,12311,"81,81",1.0
782,6546,34,1.0
782,6939,35,1.0
782,7521,39,0.0
782,11961,"80,80",0.0
782,6574,34,1.0
782,8822,"49,49",0.0
782,302,"2,45",0.0
782,11985,"80,80",0.0
782,5919,33,1.0
782,12180,"80,80",0.0
782,7907,"43,43",0.0
782,12329,81,0.0
782,7766,42,1.0
782,7116,35,1.0
782,6583,34,0.0
782,6102,33,1.0
782,12065,"80,80,80",1.0
782,13038,83,0.0
782,12068,80,1.0
782,12156,80,1.0
782,7759,42,1.0
782,13059,83,0.0
782,12145,"80,80",0.0
782,7739,42,1.0
782,11932,80,1.0
782,12036,"80,80",1.0
