stu_id,exer_id,cpt_seq,label
56,3,3,0.0
56,2,2,1.0
56,0,0,0.0
102,1,1,0.0
102,2,2,0.0
102,3,3,0.0
108,1,1,0.0
108,4,4,1.0
108,2,2,0.0
534,4,4,1.0
534,0,0,1.0
534,3,3,1.0
118,4,4,0.0
118,1,1,0.0
118,0,0,1.0
676,3,3,1.0
676,4,4,0.0
676,0,0,1.0
400,1,1,1.0
400,4,4,1.0
400,0,0,1.0
149,3,3,1.0
149,0,0,1.0
149,4,4,1.0
664,0,0,1.0
664,1,1,1.0
664,2,2,1.0
234,4,4,1.0
234,1,1,0.0
234,2,2,1.0
704,3,3,1.0
704,2,2,1.0
704,1,1,1.0
657,4,4,1.0
657,3,3,0.0
657,1,1,1.0
548,3,3,1.0
548,1,1,1.0
548,0,0,1.0
497,0,0,1.0
497,2,2,0.0
497,3,3,1.0
54,4,4,1.0
54,0,0,0.0
54,1,1,1.0
568,3,3,1.0
568,1,1,1.0
568,4,4,1.0
881,1,1,1.0
881,3,3,1.0
881,2,2,1.0
72,4,4,1.0
72,3,3,1.0
72,2,2,1.0
267,4,4,1.0
267,3,3,1.0
267,1,1,0.0
66,4,4,1.0
66,0,0,0.0
66,3,3,1.0
407,0,0,1.0
407,1,1,1.0
407,3,3,0.0
651,3,3,0.0
651,1,1,1.0
651,2,2,1.0
815,0,0,1.0
815,2,2,1.0
815,3,3,1.0
60,2,2,1.0
60,4,4,0.0
60,1,1,1.0
474,4,4,1.0
474,0,0,1.0
474,1,1,1.0
484,3,3,1.0
484,1,1,1.0
484,4,4,1.0
771,4,4,1.0
771,2,2,1.0
771,1,1,1.0
556,3,3,1.0
556,1,1,1.0
556,0,0,1.0
828,3,3,1.0
828,4,4,1.0
828,1,1,1.0
938,1,1,1.0
938,2,2,1.0
938,3,3,1.0
117,0,0,1.0
117,4,4,0.0
117,2,2,0.0
897,4,4,1.0
897,1,1,1.0
897,2,2,1.0
889,4,4,1.0
889,3,3,1.0
889,0,0,1.0
