stu_id,exer_id,cpt_seq,label
0,11,"6,7",1.0
0,14,"0,6",1.0
0,10,"1,4,6",1.0
0,3,"1,2,4,6",1.0
0,1,"3,6",0.0
0,16,"1,4,6",0.0
0,7,6,1.0
0,8,1,0.0
0,15,"1,6",1.0
0,5,6,0.0
0,9,"1,4,6,7",1.0
0,17,"1,4,5,6",1.0
0,4,"1,3,6,7",0.0
0,19,"1,2,4,6",1.0
1,8,1,1.0
1,12,"1,3,4,6",1.0
1,16,"1,4,6",1.0
1,10,"1,4,6",1.0
1,4,"1,3,6,7",0.0
1,6,"0,1,6",1.0
1,18,"0,1,2,4,6",1.0
1,14,"0,6",1.0
1,7,6,1.0
1,17,"1,4,5,6",1.0
1,1,"3,6",1.0
1,3,"1,2,4,6",1.0
1,0,"3,5,6",0.0
1,15,"1,6",1.0
2,10,"1,4,6",0.0
2,16,"1,4,6",0.0
2,8,1,0.0
2,9,"1,4,6,7",0.0
2,15,"1,6",1.0
2,12,"1,3,4,6",0.0
2,11,"6,7",0.0
2,18,"0,1,2,4,6",0.0
2,2,"3,6",1.0
2,5,6,1.0
2,4,"1,3,6,7",0.0
2,6,"0,1,6",1.0
2,0,"3,5,6",0.0
2,13,"1,6",1.0
3,11,"6,7",1.0
3,10,"1,4,6",1.0
3,6,"0,1,6",0.0
3,15,"1,6",1.0
3,0,"3,5,6",1.0
3,9,"1,4,6,7",1.0
3,19,"1,2,4,6",1.0
3,2,"3,6",1.0
3,7,6,1.0
3,14,"0,6",0.0
3,17,"1,4,5,6",1.0
3,18,"0,1,2,4,6",0.0
3,5,6,1.0
3,12,"1,3,4,6",0.0
4,6,"0,1,6",0.0
4,0,"3,5,6",0.0
4,4,"1,3,6,7",0.0
4,19,"1,2,4,6",0.0
4,18,"0,1,2,4,6",0.0
4,15,"1,6",0.0
4,10,"1,4,6",0.0
4,14,"0,6",0.0
4,5,6,1.0
4,7,6,1.0
4,1,"3,6",0.0
4,9,"1,4,6,7",0.0
