stu_id,exer_id,cpt_seq,label
0,506,506,1.0
0,760,760,1.0
0,235,235,1.0
0,492,492,0.0
0,444,444,1.0
0,236,236,1.0
0,727,727,1.0
0,181,181,1.0
0,237,237,1.0
0,730,730,1.0
0,442,442,1.0
0,633,633,1.0
0,32,32,1.0
0,177,177,1.0
0,31,31,1.0
0,729,729,1.0
0,748,748,0.0
1,785,785,1.0
1,749,749,1.0
1,25,25,1.0
1,492,492,0.0
1,31,31,1.0
1,346,346,0.0
1,504,504,0.0
1,174,174,0.0
1,494,494,1.0
1,651,651,0.0
1,503,503,0.0
1,442,442,0.0
1,727,727,0.0
1,728,728,1.0
1,196,196,0.0
2,212,212,1.0
2,830,830,0.0
2,557,557,1.0
2,479,479,1.0
2,290,290,0.0
2,495,495,0.0
2,606,606,1.0
2,450,450,0.0
2,25,25,1.0
2,182,182,1.0
3,418,418,0.0
3,183,183,0.0
3,67,67,1.0
3,81,81,0.0
3,606,606,1.0
3,79,79,1.0
3,673,673,1.0
3,588,588,1.0
3,791,791,1.0
3,77,77,0.0
3,830,830,1.0
4,445,445,1.0
4,456,456,1.0
4,446,446,1.0
4,447,447,1.0
4,616,616,1.0
4,57,57,1.0
4,421,421,1.0
4,343,343,0.0
4,53,53,1.0
4,52,52,0.0
5,237,237,1.0
5,727,727,1.0
5,729,729,1.0
5,616,616,0.0
5,609,609,0.0
5,730,730,1.0
5,495,495,0.0
5,534,534,0.0
5,640,640,0.0
5,42,42,1.0
5,16,16,0.0
5,830,830,1.0
5,442,442,1.0
5,175,175,1.0
5,72,72,1.0
5,241,241,0.0
5,67,67,1.0
5,620,620,1.0
5,756,756,1.0
5,633,633,1.0
5,32,32,1.0
5,532,532,0.0
5,728,728,0.0
5,34,34,1.0
5,127,127,0.0
5,31,31,1.0
5,487,487,1.0
5,557,557,1.0
5,15,15,1.0
5,235,235,1.0
5,443,443,1.0
6,719,719,1.0
6,688,688,0.0
6,718,718,1.0
6,484,484,1.0
6,611,611,1.0
6,189,189,1.0
6,275,275,1.0
6,163,163,0.0
6,208,208,1.0
6,273,273,0.0
6,532,532,1.0
6,534,534,0.0
6,686,686,1.0
6,67,67,0.0
6,269,269,1.0
6,271,271,1.0
7,728,728,1.0
7,90,90,1.0
7,89,89,1.0
7,196,196,1.0
7,446,446,1.0
7,443,443,1.0
7,487,487,1.0
7,442,442,1.0
7,236,236,1.0
7,34,34,1.0
7,237,237,1.0
7,216,216,0.0
7,729,729,0.0
7,31,31,1.0
8,134,134,1.0
8,727,727,1.0
8,442,442,1.0
8,358,358,0.0
8,546,546,0.0
8,425,425,0.0
8,177,177,1.0
8,621,621,0.0
8,503,503,1.0
8,830,830,0.0
8,53,53,1.0
8,557,557,1.0
8,57,57,0.0
8,196,196,0.0
8,504,504,0.0
8,232,232,1.0
8,233,233,1.0
8,181,181,1.0
8,487,487,1.0
8,606,606,1.0
8,25,25,1.0
8,58,58,1.0
8,495,495,0.0
8,748,748,1.0
8,157,157,1.0
8,234,234,1.0
9,762,762,0.0
9,235,235,1.0
9,729,729,1.0
9,245,245,0.0
9,487,487,1.0
9,755,755,1.0
9,216,216,1.0
9,231,231,1.0
9,240,240,1.0
9,730,730,1.0
9,34,34,1.0
9,445,445,0.0
9,31,31,1.0
9,236,236,1.0
9,557,557,1.0
9,88,88,0.0
9,239,239,1.0
9,724,724,0.0
9,442,442,1.0
9,234,234,1.0
9,217,217,1.0
9,19,19,1.0
9,750,750,1.0
9,552,552,0.0
9,748,748,1.0
9,757,757,1.0
9,15,15,0.0
9,197,197,0.0
9,760,760,1.0
9,145,145,1.0
9,447,447,1.0
9,244,244,1.0
9,443,443,1.0
9,233,233,1.0
9,633,633,1.0
9,196,196,1.0
9,761,761,1.0
9,728,728,1.0
9,444,444,1.0
9,758,758,1.0
9,243,243,1.0
9,723,723,0.0
9,553,553,1.0
9,759,759,1.0
10,443,443,1.0
10,494,494,1.0
10,492,492,1.0
10,487,487,1.0
10,785,785,0.0
10,181,181,1.0
10,57,57,0.0
10,493,493,1.0
10,442,442,1.0
10,36,36,1.0
10,25,25,0.0
10,756,756,1.0
10,58,58,0.0
10,31,31,1.0
11,487,487,1.0
11,817,817,0.0
11,31,31,1.0
11,728,728,1.0
11,727,727,1.0
11,592,592,1.0
11,633,633,1.0
11,34,34,1.0
11,32,32,1.0
11,216,216,1.0
12,60,60,0.0
12,830,830,0.0
12,25,25,1.0
12,123,123,1.0
12,444,444,1.0
12,358,358,1.0
12,134,134,1.0
12,238,238,1.0
12,236,236,1.0
12,234,234,0.0
12,239,239,1.0
12,466,466,1.0
12,233,233,1.0
12,493,493,0.0
12,490,490,0.0
12,57,57,0.0
12,212,212,1.0
12,58,58,0.0
12,90,90,1.0
12,182,182,0.0
12,196,196,1.0
12,557,557,1.0
