stu_id,exer_id,cpt_seq,label
0,89,89,1.0
0,728,728,1.0
0,727,727,1.0
0,442,442,1.0
0,32,32,1.0
0,506,506,1.0
0,760,760,1.0
0,750,750,0.0
0,237,237,1.0
0,748,748,0.0
0,235,235,1.0
0,749,749,1.0
0,177,177,1.0
0,487,487,1.0
0,443,443,1.0
0,633,633,1.0
0,236,236,1.0
1,487,487,1.0
1,749,749,1.0
1,729,729,1.0
1,31,31,1.0
1,748,748,1.0
1,358,358,1.0
1,504,504,0.0
1,728,728,1.0
1,196,196,0.0
1,494,494,1.0
1,756,756,0.0
1,442,442,0.0
1,25,25,1.0
1,503,503,0.0
1,182,182,0.0
2,487,487,1.0
2,182,182,1.0
2,557,557,1.0
2,479,479,1.0
2,57,57,0.0
2,606,606,1.0
2,504,504,1.0
2,290,290,0.0
2,450,450,0.0
2,212,212,1.0
3,71,71,1.0
3,673,673,1.0
3,532,532,1.0
3,67,67,1.0
3,79,79,1.0
3,81,81,0.0
3,77,77,0.0
3,716,716,0.0
3,418,418,0.0
3,183,183,0.0
3,121,121,1.0
4,57,57,1.0
4,673,673,1.0
4,791,791,1.0
4,538,538,1.0
4,343,343,0.0
4,447,447,1.0
4,787,787,1.0
4,421,421,1.0
4,446,446,1.0
4,445,445,1.0
5,772,772,1.0
5,89,89,1.0
5,16,16,0.0
5,611,611,1.0
5,534,534,0.0
5,748,748,1.0
5,749,749,1.0
5,34,34,1.0
5,608,608,1.0
5,616,616,0.0
5,495,495,0.0
5,42,42,1.0
5,830,830,1.0
5,236,236,1.0
5,729,729,1.0
5,67,67,1.0
5,751,751,1.0
5,620,620,1.0
5,444,444,1.0
5,640,640,0.0
5,633,633,1.0
5,237,237,1.0
5,127,127,0.0
5,750,750,0.0
5,212,212,0.0
5,32,32,1.0
5,15,15,1.0
5,487,487,1.0
5,235,235,1.0
5,31,31,1.0
5,44,44,0.0
6,611,611,1.0
6,309,309,1.0
6,67,67,0.0
6,487,487,1.0
6,272,272,1.0
6,484,484,1.0
6,271,271,1.0
6,686,686,1.0
6,273,273,0.0
6,189,189,1.0
6,688,688,0.0
6,719,719,1.0
6,394,394,1.0
6,532,532,1.0
6,208,208,1.0
6,163,163,0.0
7,443,443,1.0
7,445,445,1.0
7,444,444,1.0
7,446,446,1.0
7,728,728,1.0
7,89,89,1.0
7,237,237,1.0
7,31,31,1.0
7,32,32,1.0
7,487,487,1.0
7,196,196,1.0
7,34,34,1.0
7,239,239,1.0
7,727,727,1.0
8,442,442,1.0
8,495,495,0.0
8,58,58,1.0
8,196,196,0.0
8,749,749,1.0
8,157,157,1.0
8,233,233,1.0
8,420,420,1.0
8,57,57,0.0
8,53,53,1.0
8,358,358,0.0
8,177,177,1.0
8,557,557,1.0
8,633,633,0.0
8,234,234,1.0
8,606,606,1.0
8,181,181,1.0
8,651,651,1.0
8,25,25,1.0
8,830,830,0.0
8,487,487,1.0
8,503,503,1.0
8,232,232,1.0
8,621,621,0.0
8,421,421,1.0
8,748,748,1.0
9,234,234,1.0
9,242,242,1.0
9,750,750,1.0
9,217,217,1.0
9,244,244,1.0
9,728,728,1.0
9,16,16,1.0
9,758,758,1.0
9,245,245,0.0
9,757,757,1.0
9,447,447,1.0
9,145,145,1.0
9,751,751,1.0
9,232,232,1.0
9,442,442,1.0
9,239,239,1.0
9,748,748,1.0
9,762,762,0.0
9,196,196,1.0
9,89,89,1.0
9,492,492,0.0
9,241,241,1.0
9,357,357,1.0
9,487,487,1.0
9,729,729,1.0
9,15,15,0.0
9,730,730,1.0
9,197,197,0.0
9,633,633,1.0
9,443,443,1.0
9,756,756,1.0
9,761,761,1.0
9,31,31,1.0
9,755,755,1.0
9,237,237,1.0
9,466,466,0.0
9,495,495,0.0
9,231,231,1.0
9,90,90,1.0
9,557,557,1.0
9,445,445,0.0
9,763,763,0.0
9,238,238,1.0
9,723,723,0.0
10,442,442,1.0
10,750,750,0.0
10,57,57,0.0
10,31,31,1.0
10,443,443,1.0
10,58,58,0.0
10,182,182,1.0
10,631,631,0.0
10,25,25,0.0
10,494,494,1.0
10,181,181,1.0
10,492,492,1.0
10,633,633,1.0
10,748,748,1.0
11,32,32,1.0
11,31,31,1.0
11,729,729,1.0
11,487,487,1.0
11,728,728,1.0
11,715,715,0.0
11,727,727,1.0
11,633,633,1.0
11,196,196,1.0
11,817,817,0.0
12,558,558,0.0
12,443,443,1.0
12,445,445,1.0
12,90,90,1.0
12,358,358,1.0
12,182,182,0.0
12,239,239,1.0
12,749,749,1.0
12,236,236,1.0
12,495,495,0.0
12,442,442,1.0
12,212,212,1.0
12,557,557,1.0
12,444,444,1.0
12,369,369,1.0
12,0,0,0.0
12,123,123,1.0
12,234,234,0.0
12,830,830,0.0
12,235,235,1.0
12,237,237,1.0
12,238,238,1.0
12,490,490,0.0
12,493,493,0.0
12,446,446,1.0
12,58,58,0.0
12,636,636,1.0
12,233,233,1.0
12,196,196,1.0
12,36,36,1.0
13,729,729,1.0
13,487,487,1.0
13,31,31,1.0
13,727,727,1.0
13,34,34,1.0
13,235,235,1.0
13,32,32,1.0
13,443,443,1.0
13,730,730,1.0
13,633,633,1.0
13,444,444,1.0
14,235,235,1.0
14,646,646,1.0
14,487,487,1.0
14,323,323,1.0
14,469,469,1.0
14,466,466,0.0
14,196,196,1.0
14,238,238,1.0
14,58,58,1.0
14,62,62,0.0
14,492,492,1.0
14,233,233,0.0
14,183,183,1.0
14,727,727,1.0
14,36,36,0.0
14,232,232,1.0
14,31,31,1.0
14,645,645,0.0
14,216,216,1.0
14,145,145,1.0
14,25,25,1.0
14,631,631,0.0
14,212,212,1.0
14,57,57,0.0
14,358,358,0.0
14,651,651,1.0
14,182,182,1.0
14,369,369,1.0
15,746,746,0.0
15,763,763,1.0
15,826,826,0.0
15,127,127,1.0
15,157,157,1.0
15,749,749,0.0
15,156,156,0.0
15,718,718,1.0
15,518,518,0.0
15,492,492,1.0
15,481,481,0.0
15,558,558,1.0
15,473,473,1.0
15,123,123,1.0
15,264,264,1.0
15,31,31,1.0
15,553,553,1.0
15,446,446,0.0
15,265,265,0.0
15,196,196,1.0
15,603,603,1.0
15,242,242,0.0
15,114,114,1.0
15,466,466,1.0
15,538,538,1.0
15,557,557,1.0
15,19,19,1.0
15,271,271,1.0
15,9,9,1.0
15,81,81,1.0
15,299,299,1.0
15,751,751,1.0
15,388,388,1.0
15,469,469,1.0
15,215,215,1.0
15,11,11,1.0
15,276,276,0.0
15,115,115,0.0
15,240,240,1.0
15,687,687,1.0
15,33,33,1.0
15,513,513,0.0
15,10,10,1.0
15,274,274,0.0
15,515,515,0.0
15,762,762,1.0
15,305,305,1.0
15,750,750,1.0
15,447,447,0.0
15,619,619,1.0
15,610,610,0.0
15,238,238,1.0
15,41,41,1.0
15,608,608,1.0
15,16,16,1.0
15,387,387,1.0
15,79,79,1.0
15,587,587,0.0
15,88,88,1.0
15,621,621,0.0
15,0,0,1.0
15,487,487,1.0
15,394,394,1.0
15,390,390,1.0
15,197,197,0.0
15,231,231,1.0
15,243,243,1.0
15,221,221,1.0
15,604,604,1.0
15,233,233,1.0
15,189,189,1.0
15,396,396,1.0
15,755,755,1.0
15,725,725,1.0
15,675,675,1.0
15,748,748,1.0
15,67,67,1.0
15,15,15,1.0
15,234,234,1.0
15,611,611,1.0
15,145,145,1.0
15,379,379,1.0
15,110,110,0.0
15,259,259,1.0
15,445,445,1.0
15,761,761,0.0
15,794,794,1.0
15,258,258,1.0
15,241,241,1.0
15,743,743,0.0
15,517,517,1.0
15,636,636,0.0
15,532,532,1.0
15,633,633,1.0
15,723,723,0.0
15,524,524,1.0
15,583,583,1.0
15,495,495,1.0
15,378,378,1.0
15,728,728,1.0
15,184,184,1.0
15,89,89,1.0
15,729,729,1.0
15,493,493,1.0
15,22,22,1.0
15,284,284,1.0
15,183,183,0.0
15,470,470,1.0
15,444,444,1.0
15,343,343,0.0
15,72,72,1.0
15,237,237,1.0
15,71,71,1.0
15,236,236,1.0
15,645,645,1.0
15,726,726,1.0
15,216,216,1.0
15,463,463,0.0
15,309,309,0.0
15,756,756,1.0
16,31,31,1.0
16,15,15,0.0
16,506,506,1.0
16,236,236,1.0
16,32,32,1.0
16,383,383,0.0
16,443,443,1.0
16,181,181,1.0
16,636,636,0.0
16,238,238,0.0
16,89,89,1.0
16,442,442,1.0
16,177,177,1.0
16,127,127,1.0
16,727,727,1.0
17,603,603,1.0
17,748,748,1.0
17,611,611,1.0
17,31,31,1.0
17,607,607,0.0
17,239,239,1.0
17,443,443,1.0
17,54,54,0.0
17,235,235,1.0
17,749,749,1.0
