stu_id,exer_id,cpt_seq,label
0,111,15,1.0
0,110,15,1.0
0,63,17,1.0
0,93,15,1.0
0,92,15,0.0
0,98,15,1.0
0,8,6,1.0
0,71,14,1.0
0,99,15,0.0
1,48,6,1.0
1,32,6,1.0
1,12,6,1.0
1,168,24,1.0
1,13,6,1.0
1,8,6,1.0
1,35,6,1.0
1,151,22,1.0
1,36,7,1.0
2,80,14,1.0
2,68,18,1.0
2,31,0,1.0
2,371,8,1.0
2,59,0,1.0
2,96,18,1.0
2,5,1,1.0
2,79,14,1.0
2,38,6,1.0
2,11,8,1.0
2,21,0,1.0
2,71,14,0.0
2,37,6,1.0
2,178,23,0.0
2,78,14,1.0
2,32,6,1.0
2,43,15,1.0
2,30,0,0.0
2,44,7,1.0
2,52,7,1.0
2,48,6,1.0
2,42,2,1.0
2,49,6,1.0
2,93,15,1.0
2,287,15,0.0
2,139,16,1.0
2,20,0,1.0
2,33,14,0.0
2,239,15,1.0
2,110,15,1.0
2,69,18,1.0
2,64,18,0.0
2,106,18,1.0
2,35,6,1.0
2,532,6,1.0
2,107,18,1.0
2,86,17,0.0
2,188,30,1.0
2,372,8,1.0
2,148,2,1.0
2,144,20,1.0
2,55,0,1.0
2,75,1,1.0
2,12,6,1.0
2,34,6,1.0
2,138,22,0.0
2,16,8,1.0
2,185,15,1.0
2,373,8,1.0
2,94,15,1.0
2,7,5,1.0
2,66,18,1.0
2,51,7,0.0
2,65,18,1.0
2,496,14,1.0
2,63,17,1.0
2,526,6,1.0
2,84,14,0.0
2,111,15,1.0
2,175,15,1.0
2,82,14,0.0
2,207,3,0.0
2,99,15,0.0
2,278,30,0.0
2,192,23,1.0
2,257,29,0.0
2,41,14,1.0
2,384,8,1.0
2,54,0,1.0
2,390,15,1.0
2,127,15,1.0
2,97,15,1.0
2,444,17,1.0
2,126,15,1.0
2,375,8,1.0
2,73,9,1.0
2,259,29,1.0
2,482,14,0.0
2,9,7,0.0
2,193,29,0.0
2,61,7,0.0
2,146,15,1.0
2,8,6,1.0
2,288,15,0.0
2,156,22,0.0
2,197,29,1.0
2,57,0,1.0
2,17,8,1.0
2,109,18,1.0
3,16,8,1.0
3,10,0,1.0
3,12,6,1.0
3,0,0,1.0
3,9,7,1.0
4,34,6,1.0
4,11,8,0.0
4,48,6,1.0
4,50,7,0.0
4,59,0,0.0
4,54,0,1.0
4,64,18,1.0
4,9,7,0.0
4,13,6,1.0
4,45,7,1.0
4,19,6,0.0
4,51,7,0.0
4,91,18,0.0
4,31,0,1.0
4,8,6,0.0
4,71,14,0.0
5,48,6,1.0
5,70,18,0.0
5,37,6,1.0
5,38,6,1.0
5,59,0,1.0
5,52,7,1.0
5,32,6,1.0
5,69,18,1.0
5,106,18,1.0
5,91,18,1.0
5,0,0,1.0
5,66,18,1.0
5,68,18,1.0
5,95,18,1.0
5,112,18,1.0
5,13,6,1.0
5,67,18,1.0
5,96,18,1.0
5,50,7,0.0
5,19,6,1.0
5,53,7,0.0
5,36,7,1.0
5,60,0,1.0
5,49,6,1.0
5,54,0,1.0
5,65,18,1.0
5,10,0,1.0
5,21,0,1.0
5,34,6,1.0
5,39,0,1.0
6,75,1,1.0
6,259,29,0.0
6,119,4,1.0
6,379,36,1.0
6,12,6,1.0
6,258,29,1.0
6,6,4,0.0
6,241,29,1.0
6,7,5,1.0
6,148,2,1.0
6,8,6,0.0
6,18,4,1.0
6,404,2,0.0
6,1,1,0.0
6,13,6,1.0
7,199,31,0.0
7,14,9,1.0
7,72,9,1.0
7,117,19,1.0
8,44,7,1.0
8,5,1,1.0
9,0,0,1.0
9,9,7,0.0
10,44,7,0.0
10,12,6,1.0
10,16,8,1.0
10,8,6,1.0
10,11,8,1.0
10,0,0,1.0
11,10,0,0.0
11,17,8,1.0
11,601,6,1.0
11,16,8,1.0
11,5,1,0.0
11,532,6,1.0
11,13,6,1.0
11,410,1,1.0
11,92,15,0.0
11,37,6,0.0
11,49,6,0.0
11,4,1,1.0
11,608,6,1.0
11,76,1,0.0
11,386,1,1.0
11,35,6,1.0
11,390,15,0.0
11,182,25,1.0
11,39,0,1.0
11,368,1,1.0
11,34,6,1.0
11,36,7,1.0
11,48,6,1.0
11,473,1,0.0
11,74,1,1.0
11,50,7,0.0
11,52,7,1.0
11,624,2,1.0
12,13,6,1.0
12,16,8,1.0
13,44,7,1.0
13,45,7,1.0
14,185,15,1.0
14,126,15,0.0
14,23,3,0.0
14,148,2,1.0
15,120,4,1.0
15,180,28,0.0
15,18,4,1.0
15,179,28,1.0
15,85,4,0.0
15,119,4,1.0
15,11,8,1.0
16,93,15,0.0
16,97,15,1.0
16,67,18,0.0
16,110,15,0.0
16,98,15,1.0
16,111,15,1.0
17,92,15,0.0
17,80,14,1.0
17,36,7,1.0
17,35,6,1.0
17,15,9,0.0
17,44,7,1.0
17,11,8,1.0
17,37,6,1.0
17,32,6,1.0
17,38,6,0.0
17,12,6,0.0
17,14,9,1.0
17,72,9,1.0
18,14,9,1.0
18,12,6,1.0
18,11,8,0.0
18,19,6,1.0
19,236,13,1.0
19,266,24,1.0
19,159,13,1.0
19,160,13,1.0
19,359,21,0.0
19,141,13,1.0
19,195,19,0.0
20,37,6,1.0
20,16,8,1.0
20,32,6,1.0
20,12,6,1.0
20,36,7,1.0
20,19,6,1.0
20,42,2,0.0
20,64,18,1.0
20,11,8,1.0
20,93,15,0.0
20,8,6,0.0
20,148,2,1.0
20,50,7,0.0
20,179,28,0.0
21,11,8,1.0
21,12,6,1.0
21,37,6,1.0
21,13,6,1.0
21,17,8,1.0
21,45,7,1.0
21,30,0,1.0
21,50,7,1.0
21,19,6,1.0
21,51,7,1.0
21,36,7,1.0
21,10,0,1.0
21,20,0,1.0
21,35,6,1.0
21,32,6,1.0
21,67,18,1.0
21,39,0,1.0
21,34,6,1.0
21,9,7,1.0
21,16,8,1.0
21,21,0,1.0
21,52,7,1.0
22,13,6,0.0
23,108,18,1.0
23,114,18,1.0
23,12,6,1.0
23,16,8,1.0
24,92,15,1.0
24,97,15,1.0
24,74,1,1.0
24,72,9,1.0
24,15,9,1.0
25,13,6,1.0
25,12,6,1.0
25,8,6,1.0
25,151,22,1.0
26,8,6,1.0
26,56,0,1.0
26,58,0,1.0
26,21,0,1.0
26,55,0,1.0
26,57,0,1.0
26,10,0,1.0
26,9,7,0.0
26,0,0,1.0
27,31,0,1.0
27,57,0,1.0
27,12,6,1.0
27,13,6,1.0
27,8,6,1.0
27,33,14,1.0
27,65,18,1.0
27,9,7,0.0
27,32,6,1.0
27,11,8,1.0
27,22,10,0.0
27,108,18,0.0
27,10,0,0.0
27,64,18,1.0
27,67,18,1.0
27,50,7,1.0
27,6,4,1.0
27,78,14,1.0
28,15,9,0.0
28,71,14,1.0
28,14,9,1.0
28,12,6,1.0
29,63,17,1.0
29,11,8,1.0
29,12,6,1.0
30,182,25,1.0
30,211,35,1.0
30,12,6,1.0
30,183,25,1.0
31,74,1,1.0
31,10,0,0.0
31,0,0,1.0
31,5,1,1.0
31,76,1,0.0
31,77,1,0.0
31,12,6,0.0
31,9,7,1.0
31,15,9,0.0
31,62,9,0.0
31,13,6,1.0
32,11,8,0.0
32,44,7,0.0
32,13,6,1.0
33,13,6,1.0
33,12,6,1.0
33,8,6,1.0
33,92,15,1.0
33,45,7,1.0
33,44,7,1.0
34,14,9,1.0
34,34,6,1.0
34,35,6,1.0
34,86,17,0.0
34,91,18,0.0
34,9,7,1.0
34,51,7,0.0
34,38,6,1.0
34,56,0,0.0
34,21,0,1.0
34,60,0,1.0
34,44,7,1.0
34,50,7,0.0
34,61,7,1.0
34,12,6,1.0
34,58,0,0.0
34,39,0,1.0
34,0,0,1.0
34,52,7,1.0
34,48,6,1.0
