stu_id,exer_id,cpt_seq,label
0,9,"2,13,14",1.0
0,10,"8,9,12,13",0.0
0,8,"7,11,13,14",1.0
0,3,"4,11,14",0.0
0,1,"1,12",0.0
0,12,"8,9",0.0
0,7,"6,12,13,14",1.0
0,11,"5,12,14,15",0.0
0,5,"5,12,14,15",0.0
0,15,"10,13,14",0.0
0,4,"4,11,13,14",1.0
1,11,"5,12,14,15",1.0
1,6,"5,14,15",1.0
1,15,"10,13,14",1.0
1,7,"6,12,13,14",0.0
1,1,"1,12",1.0
1,10,"8,9,12,13",0.0
1,3,"4,11,14",1.0
1,0,"0,13,14",1.0
1,12,"8,9",1.0
1,2,"2,3,11,14",1.0
1,14,"2,10,14",0.0
2,5,"5,12,14,15",0.0
2,8,"7,11,13,14",0.0
2,11,"5,12,14,15",1.0
2,2,"2,3,11,14",1.0
2,10,"8,9,12,13",0.0
2,9,"2,13,14",0.0
2,4,"4,11,13,14",0.0
2,12,"8,9",1.0
2,0,"0,13,14",1.0
2,7,"6,12,13,14",1.0
2,14,"2,10,14",0.0
3,6,"5,14,15",1.0
3,9,"2,13,14",1.0
3,7,"6,12,13,14",0.0
3,11,"5,12,14,15",1.0
3,14,"2,10,14",0.0
3,15,"10,13,14",0.0
3,2,"2,3,11,14",1.0
3,10,"8,9,12,13",0.0
3,13,"0,14",0.0
3,12,"8,9",0.0
3,5,"5,12,14,15",1.0
4,0,"0,13,14",1.0
4,14,"2,10,14",0.0
4,9,"2,13,14",0.0
4,6,"5,14,15",0.0
4,5,"5,12,14,15",1.0
4,1,"1,12",1.0
4,7,"6,12,13,14",0.0
4,10,"8,9,12,13",0.0
4,2,"2,3,11,14",0.0
4,8,"7,11,13,14",1.0
4,3,"4,11,14",0.0
5,10,"8,9,12,13",0.0
5,14,"2,10,14",0.0
5,12,"8,9",0.0
5,1,"1,12",1.0
5,5,"5,12,14,15",0.0
5,15,"10,13,14",0.0
5,11,"5,12,14,15",0.0
5,7,"6,12,13,14",0.0
5,9,"2,13,14",0.0
5,4,"4,11,13,14",0.0
5,3,"4,11,14",0.0
6,4,"4,11,13,14",0.0
6,6,"5,14,15",1.0
6,13,"0,14",0.0
6,0,"0,13,14",1.0
6,2,"2,3,11,14",1.0
6,10,"8,9,12,13",0.0
6,8,"7,11,13,14",1.0
6,9,"2,13,14",1.0
6,14,"2,10,14",0.0
6,15,"10,13,14",0.0
6,3,"4,11,14",0.0
7,5,"5,12,14,15",0.0
7,6,"5,14,15",1.0
7,9,"2,13,14",0.0
7,0,"0,13,14",1.0
7,10,"8,9,12,13",1.0
7,7,"6,12,13,14",0.0
7,4,"4,11,13,14",0.0
7,15,"10,13,14",0.0
7,14,"2,10,14",0.0
7,3,"4,11,14",0.0
7,11,"5,12,14,15",0.0
8,14,"2,10,14",0.0
8,2,"2,3,11,14",0.0
8,10,"8,9,12,13",1.0
8,4,"4,11,13,14",0.0
8,12,"8,9",0.0
8,8,"7,11,13,14",1.0
8,7,"6,12,13,14",0.0
8,3,"4,11,14",0.0
8,0,"0,13,14",1.0
8,11,"5,12,14,15",0.0
8,15,"10,13,14",0.0
9,1,"1,12",1.0
9,10,"8,9,12,13",0.0
9,6,"5,14,15",0.0
9,0,"0,13,14",1.0
9,4,"4,11,13,14",1.0
9,5,"5,12,14,15",1.0
9,13,"0,14",0.0
9,7,"6,12,13,14",0.0
9,9,"2,13,14",1.0
9,3,"4,11,14",1.0
9,12,"8,9",0.0
10,0,"0,13,14",1.0
10,6,"5,14,15",0.0
10,14,"2,10,14",0.0
10,10,"8,9,12,13",1.0
10,4,"4,11,13,14",0.0
10,1,"1,12",1.0
10,3,"4,11,14",0.0
10,9,"2,13,14",1.0
10,8,"7,11,13,14",1.0
10,15,"10,13,14",0.0
10,12,"8,9",1.0
11,4,"4,11,13,14",1.0
11,6,"5,14,15",1.0
11,14,"2,10,14",0.0
11,2,"2,3,11,14",0.0
11,8,"7,11,13,14",1.0
11,10,"8,9,12,13",0.0
11,3,"4,11,14",0.0
11,1,"1,12",0.0
11,12,"8,9",0.0
11,7,"6,12,13,14",1.0
11,13,"0,14",0.0
12,5,"5,12,14,15",1.0
12,7,"6,12,13,14",0.0
12,14,"2,10,14",0.0
12,1,"1,12",0.0
12,11,"5,12,14,15",0.0
12,10,"8,9,12,13",0.0
12,3,"4,11,14",0.0
12,6,"5,14,15",0.0
12,13,"0,14",0.0
12,12,"8,9",0.0
12,15,"10,13,14",0.0
13,10,"8,9,12,13",0.0
13,7,"6,12,13,14",0.0
13,5,"5,12,14,15",1.0
13,9,"2,13,14",1.0
13,1,"1,12",1.0
13,11,"5,12,14,15",0.0
13,8,"7,11,13,14",1.0
13,15,"10,13,14",0.0
13,6,"5,14,15",1.0
13,4,"4,11,13,14",0.0
13,13,"0,14",1.0
14,12,"8,9",1.0
14,2,"2,3,11,14",1.0
14,10,"8,9,12,13",0.0
14,1,"1,12",1.0
14,4,"4,11,13,14",1.0
14,14,"2,10,14",0.0
14,15,"10,13,14",0.0
14,7,"6,12,13,14",0.0
14,11,"5,12,14,15",0.0
14,3,"4,11,14",0.0
14,6,"5,14,15",1.0
15,6,"5,14,15",1.0
15,4,"4,11,13,14",0.0
15,9,"2,13,14",0.0
15,2,"2,3,11,14",1.0
15,0,"0,13,14",1.0
15,15,"10,13,14",0.0
15,7,"6,12,13,14",1.0
15,11,"5,12,14,15",1.0
15,13,"0,14",0.0
15,5,"5,12,14,15",0.0
15,8,"7,11,13,14",1.0
16,6,"5,14,15",0.0
16,8,"7,11,13,14",1.0
16,4,"4,11,13,14",0.0
16,14,"2,10,14",0.0
16,13,"0,14",0.0
16,2,"2,3,11,14",1.0
16,12,"8,9",0.0
16,0,"0,13,14",1.0
16,5,"5,12,14,15",0.0
16,7,"6,12,13,14",0.0
16,11,"5,12,14,15",1.0
17,4,"4,11,13,14",0.0
17,6,"5,14,15",1.0
17,1,"1,12",1.0
17,0,"0,13,14",1.0
17,7,"6,12,13,14",0.0
17,3,"4,11,14",0.0
17,14,"2,10,14",0.0
17,2,"2,3,11,14",1.0
17,8,"7,11,13,14",1.0
17,9,"2,13,14",0.0
17,15,"10,13,14",0.0
18,7,"6,12,13,14",0.0
18,10,"8,9,12,13",0.0
18,4,"4,11,13,14",0.0
18,0,"0,13,14",1.0
18,9,"2,13,14",0.0
18,3,"4,11,14",0.0
18,1,"1,12",0.0
18,5,"5,12,14,15",0.0
18,14,"2,10,14",0.0
18,6,"5,14,15",1.0
18,8,"7,11,13,14",0.0
19,6,"5,14,15",0.0
19,5,"5,12,14,15",1.0
19,12,"8,9",0.0
19,1,"1,12",0.0
19,13,"0,14",0.0
19,7,"6,12,13,14",0.0
19,4,"4,11,13,14",0.0
19,0,"0,13,14",0.0
19,3,"4,11,14",1.0
19,15,"10,13,14",0.0
19,2,"2,3,11,14",0.0
20,2,"2,3,11,14",0.0
20,14,"2,10,14",0.0
20,5,"5,12,14,15",0.0
20,0,"0,13,14",1.0
20,11,"5,12,14,15",1.0
20,6,"5,14,15",1.0
20,4,"4,11,13,14",0.0
20,15,"10,13,14",0.0
20,3,"4,11,14",1.0
20,13,"0,14",0.0
20,9,"2,13,14",0.0
21,8,"7,11,13,14",1.0
21,9,"2,13,14",0.0
21,7,"6,12,13,14",0.0
21,5,"5,12,14,15",0.0
21,1,"1,12",0.0
21,0,"0,13,14",1.0
21,10,"8,9,12,13",0.0
21,13,"0,14",0.0
21,15,"10,13,14",0.0
21,2,"2,3,11,14",0.0
21,14,"2,10,14",0.0
22,12,"8,9",0.0
22,13,"0,14",0.0
22,0,"0,13,14",1.0
22,6,"5,14,15",1.0
22,7,"6,12,13,14",0.0
22,15,"10,13,14",0.0
22,11,"5,12,14,15",0.0
22,5,"5,12,14,15",1.0
22,10,"8,9,12,13",0.0
22,4,"4,11,13,14",1.0
22,8,"7,11,13,14",1.0
23,2,"2,3,11,14",1.0
23,12,"8,9",1.0
23,14,"2,10,14",1.0
23,5,"5,12,14,15",1.0
23,9,"2,13,14",1.0
23,4,"4,11,13,14",0.0
23,7,"6,12,13,14",0.0
23,15,"10,13,14",0.0
23,10,"8,9,12,13",1.0
23,11,"5,12,14,15",1.0
23,6,"5,14,15",1.0
24,4,"4,11,13,14",1.0
24,0,"0,13,14",1.0
24,10,"8,9,12,13",0.0
24,7,"6,12,13,14",0.0
24,11,"5,12,14,15",1.0
24,8,"7,11,13,14",1.0
24,12,"8,9",0.0
24,5,"5,12,14,15",1.0
24,14,"2,10,14",0.0
24,15,"10,13,14",0.0
24,6,"5,14,15",1.0
25,2,"2,3,11,14",1.0
25,1,"1,12",0.0
25,8,"7,11,13,14",1.0
25,13,"0,14",0.0
25,10,"8,9,12,13",1.0
25,3,"4,11,14",0.0
25,14,"2,10,14",0.0
25,11,"5,12,14,15",1.0
25,15,"10,13,14",0.0
25,5,"5,12,14,15",0.0
25,6,"5,14,15",0.0
26,5,"5,12,14,15",0.0
26,6,"5,14,15",0.0
26,10,"8,9,12,13",1.0
26,13,"0,14",0.0
26,14,"2,10,14",0.0
26,11,"5,12,14,15",1.0
26,2,"2,3,11,14",1.0
26,1,"1,12",1.0
26,15,"10,13,14",0.0
26,8,"7,11,13,14",0.0
26,12,"8,9",0.0
27,2,"2,3,11,14",0.0
27,10,"8,9,12,13",0.0
27,6,"5,14,15",0.0
27,0,"0,13,14",1.0
27,3,"4,11,14",1.0
27,14,"2,10,14",1.0
27,11,"5,12,14,15",0.0
