stu_id,exer_id,cpt_seq,label
3,325,212,1.0
3,625,180,1.0
3,934,52,1.0
3,678,211,1.0
3,502,67,1.0
3,234,211,1.0
3,209,211,1.0
3,187,64,1.0
3,642,251,1.0
3,850,67,1.0
3,572,70,1.0
3,533,70,1.0
3,319,251,1.0
3,496,166,1.0
3,134,211,1.0
3,177,212,1.0
3,230,166,1.0
3,461,211,1.0
3,611,70,1.0
3,328,70,1.0
3,605,211,1.0
3,493,212,1.0
3,196,166,1.0
3,439,209,1.0
3,831,211,1.0
3,813,210,1.0
3,551,251,1.0
3,372,211,1.0
3,122,67,1.0
3,158,212,1.0
3,71,212,1.0
3,76,67,1.0
3,898,70,1.0
3,297,251,1.0
3,769,211,1.0
3,376,220,1.0
3,849,"33,212",1.0
3,926,211,1.0
3,635,210,1.0
3,527,211,1.0
3,764,211,1.0
3,836,70,1.0
3,405,210,1.0
3,923,251,1.0
3,310,212,1.0
3,520,181,1.0
3,249,251,1.0
3,579,70,1.0
3,623,211,1.0
3,916,171,1.0
3,150,251,1.0
3,385,70,1.0
3,214,181,1.0
3,436,212,1.0
3,465,166,1.0
3,570,171,1.0
3,185,210,1.0
3,545,70,1.0
3,170,70,1.0
3,263,212,1.0
3,281,211,1.0
3,193,52,1.0
3,83,180,1.0
3,195,212,1.0
3,360,211,1.0
3,517,211,1.0
3,335,251,1.0
3,786,210,1.0
3,800,212,1.0
3,445,251,1.0
3,82,251,1.0
3,858,52,1.0
3,637,211,1.0
3,904,212,1.0
3,27,231,1.0
3,52,"219,220",1.0
3,802,181,1.0
3,3,211,1.0
3,638,210,1.0
3,709,67,1.0
3,585,212,1.0
3,755,211,1.0
3,161,212,1.0
3,111,211,1.0
3,645,210,1.0
3,761,181,1.0
3,484,181,1.0
3,383,245,1.0
3,463,211,1.0
3,856,70,1.0
3,528,181,1.0
3,409,251,1.0
3,46,212,1.0
3,716,171,1.0
3,206,70,1.0
3,217,67,1.0
3,255,67,1.0
3,54,64,1.0
3,379,70,1.0
3,242,211,1.0
3,834,67,1.0
3,367,221,1.0
3,421,251,1.0
3,47,181,1.0
3,368,33,1.0
3,152,171,1.0
3,855,73,1.0
3,795,212,1.0
3,547,211,1.0
3,120,67,1.0
3,30,52,1.0
3,89,73,1.0
3,500,211,1.0
3,938,211,1.0
3,788,211,1.0
3,159,67,1.0
3,300,209,1.0
3,646,211,1.0
3,370,251,1.0
5,249,251,1.0
5,880,202,1.0
5,53,204,1.0
5,304,220,0.0
5,371,70,0.0
5,809,211,1.0
5,554,221,1.0
5,709,67,0.0
5,845,95,1.0
5,907,275,1.0
5,51,171,1.0
5,563,210,1.0
5,449,221,0.0
5,177,212,1.0
5,945,212,0.0
5,351,88,0.0
5,250,212,1.0
5,217,67,0.0
5,328,70,1.0
5,822,93,1.0
5,267,408,1.0
5,370,251,1.0
5,416,67,0.0
5,263,212,1.0
5,586,191,0.0
5,434,183,0.0
5,235,408,0.0
5,526,95,0.0
5,314,211,0.0
