
=== synthetic config 1/4: {'pure_frac': 0.6, 'entangled_frac': 0.3, 'items_per_student': 60} ===
  epoch 01 | loss 0.9323 | valid_auc 0.5973
  epoch 02 | loss 0.6901 | valid_auc 0.5844
  epoch 03 | loss 0.6870 | valid_auc 0.5978
  epoch 04 | loss 0.6868 | valid_auc 0.6126
  epoch 05 | loss 0.6870 | valid_auc 0.6338
  epoch 06 | loss 0.6868 | valid_auc 0.6635
  epoch 07 | loss 0.6870 | valid_auc 0.6847
  epoch 08 | loss 0.6870 | valid_auc 0.6930
  epoch 09 | loss 0.6868 | valid_auc 0.6927
  epoch 10 | loss 0.6839 | valid_auc 0.6925
  epoch 11 | loss 0.6618 | valid_auc 0.6983
  epoch 12 | loss 0.6204 | valid_auc 0.7110
  epoch 13 | loss 0.5809 | valid_auc 0.7280
  epoch 14 | loss 0.5373 | valid_auc 0.7478
  epoch 15 | loss 0.4895 | valid_auc 0.7632
  epoch 16 | loss 0.4447 | valid_auc 0.7727
  epoch 17 | loss 0.4076 | valid_auc 0.7767
  epoch 18 | loss 0.3812 | valid_auc 0.7775
  epoch 19 | loss 0.3617 | valid_auc 0.7769
  epoch 20 | loss 0.3459 | valid_auc 0.7758
  epoch 21 | loss 0.3345 | valid_auc 0.7742
  epoch 22 | loss 0.3246 | valid_auc 0.7729
  epoch 23 | loss 0.3168 | valid_auc 0.7715
  epoch 24 | loss 0.3098 | valid_auc 0.7702
  epoch 25 | loss 0.3038 | valid_auc 0.7687
  epoch 26 | loss 0.2967 | valid_auc 0.7675
  early stop @ ep26 (best 0.7775 @ ep18)
  cert_auroc 0.679 vs count_auroc 0.636 | acc certified 0.855 / abstained 0.651 | beats_count=True

=== synthetic config 2/4: {'pure_frac': 0.3, 'entangled_frac': 0.4, 'items_per_student': 60} ===
  epoch 01 | loss 0.8932 | valid_auc 0.5958
  epoch 02 | loss 0.6883 | valid_auc 0.5000
  epoch 03 | loss 0.6861 | valid_auc 0.5873
  epoch 04 | loss 0.6860 | valid_auc 0.6120
  epoch 05 | loss 0.6860 | valid_auc 0.6339
  epoch 06 | loss 0.6862 | valid_auc 0.6576
  epoch 07 | loss 0.6860 | valid_auc 0.6803
  epoch 08 | loss 0.6860 | valid_auc 0.6890
  epoch 09 | loss 0.6859 | valid_auc 0.6885
  epoch 10 | loss 0.6842 | valid_auc 0.6877
  epoch 11 | loss 0.6633 | valid_auc 0.6942
  epoch 12 | loss 0.6200 | valid_auc 0.7062
  epoch 13 | loss 0.5810 | valid_auc 0.7209
  epoch 14 | loss 0.5393 | valid_auc 0.7371
  epoch 15 | loss 0.4933 | valid_auc 0.7509
  epoch 16 | loss 0.4475 | valid_auc 0.7589
  epoch 17 | loss 0.4098 | valid_auc 0.7621
  epoch 18 | loss 0.3823 | valid_auc 0.7625
  epoch 19 | loss 0.3607 | valid_auc 0.7619
  epoch 20 | loss 0.3456 | valid_auc 0.7604
  epoch 21 | loss 0.3325 | valid_auc 0.7587
  epoch 22 | loss 0.3218 | valid_auc 0.7571
  epoch 23 | loss 0.3124 | valid_auc 0.7555
  epoch 24 | loss 0.3036 | valid_auc 0.7539
  epoch 25 | loss 0.2955 | valid_auc 0.7522
  epoch 26 | loss 0.2891 | valid_auc 0.7507
  early stop @ ep26 (best 0.7625 @ ep18)
  cert_auroc 0.603 vs count_auroc 0.587 | acc certified 0.819 / abstained 0.716 | beats_count=True

=== synthetic config 3/4: {'pure_frac': 0.6, 'entangled_frac': 0.3, 'items_per_student': 30} ===
  epoch 01 | loss 1.2990 | valid_auc 0.5971
  epoch 02 | loss 0.7161 | valid_auc 0.5984
  epoch 03 | loss 0.6960 | valid_auc 0.5285
  epoch 04 | loss 0.6927 | valid_auc 0.5715
  epoch 05 | loss 0.6923 | valid_auc 0.6037
  epoch 06 | loss 0.6923 | valid_auc 0.6095
