dataset,source_dataset,original_rows,target_rows,train_rows,valid_rows,test_rows,auc,acc,rmse,bce,n,support_deletion_auc,support_deletion_auc_drop,support_corruption_auc,support_corruption_auc_drop,shuffle_student_auc,shuffle_student_auc_drop,avg_candidate_count,inference_sec_per_10k
assist_09_chold,assist_09_chold,253722,0,176681,24467,52574,0.7334972005398088,0.699908700117929,0.44483535702408117,0.5873900056496425,52574,0.708286907274486,0.02521029326532287,0.7096507025244356,0.023846498015373196,0.7275986867159397,0.005898513823869078,106.90111081523186,0.6012731030618528
assist_12,assist_12,292399,0,201373,26022,65004,0.7410706265381106,0.7828441326687589,0.39609111581863193,0.4836611893903213,65004,0.7050247860651584,0.03604584047295223,0.7171188616428432,0.023951764895267402,0.7142706797589371,0.026799946779173522,56.4708325641499,0.6001870132682777
assist_12_clean15_item50_retricd_small,assist_12_clean15_item50,1767558,353835,246305,33901,73769,0.7424893901314498,0.7402974149032792,0.4215061553333679,0.5388932547564899,73769,0.7054625882877924,0.037026801843657364,0.7163675499566269,0.026121840174822886,0.7251594187089236,0.017329971422526125,100.8464802288224,0.5750761786184775
assist_15_retricd_small,assist_15,708631,353835,243625,32657,77570,0.7178122507639866,0.7561944050535001,0.4133261304690488,0.5178905423757091,77570,0.6606235832351064,0.05718866752888019,0.6820460426261931,0.03576620813779352,0.6807324097538602,0.0370798410101264,62.67132912208328,0.5783438143476822
assist_17_chold_retricd_small,assist_17_chold,389977,353835,247205,34724,72257,0.7850606172875867,0.7130381831518053,0.434304488242803,0.5580013235398605,72257,0.7673099535648829,0.01775066372270384,0.7734808883595926,0.011579728927994082,0.7809973582920782,0.004063258995508523,122.79733451430312,0.5476566058629275
cdbd_a0910,cdbd_a0910,267415,0,186049,25606,55760,0.7603226264120411,0.7292862266857962,0.431490358459328,0.5736547467020854,55760,0.7386407561908692,0.02168187022117185,0.7439760774420558,0.01634654896998522,0.753852929272677,0.006469697139364072,102.67074964131994,0.6024287309573757
cdbd_lsat,cdbd_lsat,5000,0,3000,1000,1000,0.7064668387039856,0.73,0.40977527545223597,0.5078167408683105,1000,0.6774658682370586,0.029000970466927067,0.7130064624274907,-0.006539623723505028,0.6855411455920952,0.02092569311189041,4.0,0.7895803195424378
ednet_kt1,ednet_kt1,307953,0,215481,30718,61754,0.7620107491664847,0.7376040418434433,0.41886090048451247,0.5234782355048277,61754,0.729785049019529,0.032225700146955694,0.7367099335660005,0.02530081560048425,0.7566397686427866,0.00537098052369811,128.0,0.5561962933767449
ednet_kt1_gap_probe,ednet_kt1_gap_probe,40866,0,28519,4005,8342,0.64251884593778,0.6494845360824743,0.49142505991828095,0.753289592375648,8342,0.5354395993704104,0.10707924656736956,0.5640858676343319,0.07843297830344809,0.641316191690833,0.001202654246946988,121.21337808678975,1.0239947040761133
ednet_kt1_gap_retricd_small,ednet_kt1_gap,622428,353835,247094,34687,72321,0.7229345625511154,0.7010550185976411,0.44816793188238296,0.6035421586416759,72321,0.689389124912595,0.03354543763852047,0.6678133727254816,0.055121189825633854,0.7183577941483846,0.004576768402730802,121.71778598194162,0.5593412306237361
